00:00.172  reports          | WARNING Unable to open 'C:\Users\Amministratore\AppData\Roaming\Blender Foundation\Blender\5.2\config\userpref.blend': Permission denied
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:35:40)
00:04.000  blend            | Read blend: "C:\Users\Amministratore\y.worktrees\copilot-worktrees\animalhousestudio.github.io\animalhousestudio-expert-fortnight\casa3d\art\mansion-v09\mansion-v09-trees.blend"
INFO Draco is available, use library at C:\Program Files\Blender Foundation\Blender 5.2\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_draco_bridge.dll
INFO MeshOptimizer is available, use library at C:\Program Files\Blender Foundation\Blender 5.2\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_meshopt_bridge.dll
20:32:02 | INFO: Starting glTF 2.0 export
20:32:02 | INFO: Extracting primitive: ACCESS_Veranda_L_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: ACCESS_Veranda_Top_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_UpperFloor_Slab_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Chimney_Pot_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Chimney_Pot_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Tower_ArchedBay_Pier_L_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_UpperFloor_Front_Pier_L_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_UpperFloor_Front_Pier_L_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_Front_ArchWall_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_Front_Glass_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_UpperFloor_Front_Mullion_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_Front_OakFrame_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_Plinth_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_Ridge_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_RoofGlass_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_RoofRafter_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Conservatory_RoofRafter_Mesh.007
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_Baluster_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_Foot_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_Left_Foot_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_Left_Top_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_StoneLip_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_GrandBalcony_Top_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.002
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.003
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.004
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.005
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.006
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryBracket_Mesh.007
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryDeck_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryRail_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_GalleryRail_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeBar_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeBar_Mesh.005
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.002
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.003
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.004
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.005
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.006
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeGlass_Mesh.007
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.001
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.002
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.003
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.004
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.005
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.006
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: M01_Observatory_PortholeRim_Mesh.007
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.010
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.015
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.016
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.017
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.018
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.019
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.031
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.032
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.033
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.034
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.012
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cone.020
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cone.021
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Sphere.067
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Sphere.068
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.036
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.014
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.013
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.023
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.234
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.236
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.059
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.060
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.061
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.024
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.235
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.237
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Sphere.052
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Sphere.053
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Sphere.054
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cone.015
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cone.016
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cone.017
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.238
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.239
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.240
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.062
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.063
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.064
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.020
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.021
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.228
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.230
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.056
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.057
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.058
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.022
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.229
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cube.231
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.053
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.054
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.055
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.065
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.066
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Cylinder.067
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.005
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.006
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.007
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.008
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.009
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.010
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.011
20:32:02 | INFO: Primitives created: 1
20:32:02 | INFO: Extracting primitive: Icosphere.012
20:32:02 | INFO: Primitives created: 1
